freqVals,accVals,smoothed_accVals
13.0,430.84615384615387,431.5639505422114
14.0,433.39130434782606,433.0889834802879
15.0,433.0,434.0192865105908
16.0,439.69565217391306,435.41915475828523
17.0,436.4,437.3336846728151
18.0,439.1818181818182,438.3551339481774
19.0,442.3333333333333,439.83513394817743
20.0,439.52,440.32816627816624
21.0,441.88,441.2972138972139
22.0,442.65384615384613,442.11306471306466
23.0,442.2142857142857,442.68417582417584
24.0,444.0769230769231,442.47750915750913
25.0,445.76,441.80615113281783
26.0,438.28,440.84384344051006
27.0,437.85185185185185,439.97479582146246
28.0,436.88,439.013257359924
29.0,437.0,437.3481291547958
30.0,438.3076923076923,437.15948717948714
31.0,435.7692307692308,437.59722201577273
32.0,437.14814814814815,436.7221602873777
33.0,440.4782608695652,436.21066603450413
34.0,431.6296296296296,435.4441062054443
35.0,433.9310344827586,436.2941619468043
36.0,433.7083333333333,436.6970068206637
37.0,440.8695652173913,436.07883513727467
38.0,439.5652173913044,437.57005071182357
39.0,436.7692307692308,438.8176560758082
40.0,440.5769230769231,440.2482116313638
41.0,441.4166666666667,440.923284095132
42.0,442.2916666666667,441.48908119658125
43.0,444.92,443.37369658119655
44.0,442.96,444.3929273504273
45.0,448.0769230769231,446.1301495726496
46.0,446.6923076923077,447.50129154795815
47.0,451.84,448.38962488129147
48.0,450.51851851851853,450.6296248812915
49.0,450.25,450.89680436847107
50.0,456.4,452.35834283000946
51.0,449.68,454.7322317188984
52.0,455.46153846153845,455.56556505223176
53.0,466.0833333333333,458.8705650522317
54.0,455.51851851851853,459.84389838556507
55.0,470.08,462.0824169040836
56.0,462.24,463.20302469135805
57.0,463.1111111111111,462.9792592592592
58.0,462.18518518518516,465.07232668566
59.0,464.74074074074076,464.09232668566
60.0,468.0769230769231,464.33010446343786
61.0,464.2,466.1577397910731
62.0,463.6666666666667,467.00341880341875
63.0,474.0769230769231,467.8552706552707
64.0,467.25925925925924,467.63257359924023
65.0,469.85185185185185,467.9389838556506
66.0,466.74074074074076,468.5192307692307
67.0,466.03846153846155,466.6597435897436
68.0,467.14814814814815,468.5005916842149
69.0,462.92,469.1852830422395
70.0,478.30434782608694,469.1018262521161
71.0,473.96,472.97362112391096
72.0,466.24,479.505947309746
73.0,489.2692307692308,480.7476757048077
74.0,506.3421052631579,479.17695106712654
75.0,470.3703703703704,479.9860868695957
76.0,468.88,482.3141424251512
77.0,478.81481481481484,479.7626039636127
78.0,480.2083333333333,476.3122530864198
79.0,473.96,478.3809594739667
80.0,485.64,481.1189081919154
81.0,482.7826086956522,480.55361854329243
82.0,485.3076923076923,479.69173582724306
83.0,475.4230769230769,479.0972120177193
84.0,475.037037037037,476.40125963676684
85.0,470.39285714285717,475.91749152082485
86.0,469.4642857142857,473.17390177723513
87.0,479.88,472.62261972595314
88.0,468.84615384615387,473.41947718947716
89.0,472.11538461538464,475.48443578160976
90.0,479.8181818181818,474.50961893179283
91.0,482.7826086956522,472.49756764974154
92.0,463.61538461538464,473.63431978649373
93.0,467.8076923076923,473.90996081213467
94.0,475.6666666666667,474.0417131178001
95.0,473.7692307692308,473.0640561129691
96.0,480.60869565217394,476.1906586770718
97.0,476.9166666666667,481.02972750298267
98.0,482.375,481.78818160926284
99.0,496.8421052631579,481.6199764810578
100.0,480.2173913043478,479.29438927466094
101.0,472.76,479.1882781635498
102.0,466.6551724137931,480.5533143954339
103.0,476.28,472.9486778039552
104.0,490.5652173913044,473.8191125865639
105.0,451.2142857142857,473.0124459198972
106.0,485.44,474.1853017996496
107.0,467.92,474.398635132983
108.0,473.6923076923077,470.4646886446887
109.0,477.56,455.3511965811966
110.0,466.96153846153845,454.87401709401706
111.0,360.53333333333336,461.0604273504273
112.0,482.5769230769231,459.2128998778999
113.0,505.03846153846155,459.0763566680234
114.0,462.60714285714283,460.6361002577669
115.0,476.74074074074076,477.38054470221135
116.0,476.32,479.0310575227242
117.0,461.0,474.9065917107584
118.0,492.48,478.17078584995255
119.0,480.2916666666667,478.95473646723644
120.0,482.1923076923077,479.54955128205137
121.0,481.44444444444446,484.54955128205137
122.0,479.8888888888889,482.6917735042735
123.0,491.0,483.6111111111111
124.0,481.3333333333333,483.04334554334554
125.0,485.8076923076923,484.39982702482706
126.0,478.7857142857143,484.7576312576312
127.0,489.5833333333333,485.89960656627323
128.0,482.0357142857143,485.2011938678606
129.0,497.85185185185185,487.5233686067019
130.0,477.14285714285717,489.6887125220458
131.0,499.74074074074076,490.78379799213127
132.0,491.77777777777777,492.2318685996847
133.0,496.15384615384613,492.8121155132649
134.0,490.7241379310345,503.04663932278874
135.0,501.3333333333333,503.4946111040938
136.0,538.55,505.75387036335314
137.0,502.42857142857144,509.67267378215655
138.0,505.3333333333333,513.9942918192918
139.0,519.6666666666666,514.7542124542125
140.0,516.6538461538462,511.15143467643475
141.0,505.89285714285717,513.5859584859585
142.0,516.9333333333333,516.4097132752305
143.0,517.0357142857143,518.3224116879289
144.0,522.2758620689655,519.4801039956212
145.0,531.1428571428571,521.964627805145
146.0,523.6,531.114627805145
147.0,520.8,527.8378420908593
148.0,571.8333333333334,530.5597222222221
149.0,497.375,532.6073412698413
150.0,538.6071428571429,540.4958470169678
151.0,543.4285714285714,561.4291803503011
152.0,570.9310344827586,575.69306923919
153.0,646.4,639.22706046726
154.0,657.4166666666666,677.3508699910695
155.0,878.578947368421,726.7516636418633
156.0,767.35,772.7894736842105
157.0,839.8333333333334,798.1196324143693
158.0,847.1578947368421,816.6032182729551
159.0,798.3809523809524,790.4991512873092
160.0,768.3181818181819,785.0741512873092
161.0,721.9545454545455,757.1996302145122
162.0,734.8,730.1614096631338
163.0,672.5862068965517,709.9645842663085
164.0,684.9285714285714,691.9710777728019
165.0,677.2,688.1196791714033
166.0,660.3571428571429,675.9691044587596
167.0,698.8461538461538,677.1452128331439
168.0,661.8965517241379,668.5364279398763
169.0,679.6428571428571,663.290450928382
170.0,633.2758620689655,660.3309271188581
171.0,645.7241379310345,641.927080965012
172.0,642.6,637.5616062949397
173.0,588.4230769230769,629.1092253425587
174.0,635.7037037037037,627.3965816643978
175.0,628.9285714285714,621.4487315153982
176.0,623.0,614.379595712929
177.0,610.0370370370371,620.649360670194
178.0,600.1851851851852,609.6332671957672
179.0,626.0416666666666,599.6389991181658
180.0,569.6071428571429,587.1081349206348
181.0,568.9629629629629,585.511684303351
182.0,547.8148148148148,577.393863584081
183.0,600.4583333333334,576.0608321831148
184.0,551.4782608695652,579.2527451552002
185.0,618.0434782608696,576.7089179947064
186.0,588.7586206896551,581.2832604531069
187.0,553.7,571.2568715642179
188.0,575.2608695652174,570.37413111626
189.0,540.3,560.0811704537342
190.0,546.1818181818181,552.4021020931776
191.0,556.2857142857143,550.1405078902791
192.0,542.6842105263158,542.6405078902791
193.0,540.1304347826087,541.3935381933094
194.0,530.2608695652174,537.6965684963398
195.0,532.8181818181819,532.7838700836413
196.0,524.0,529.5031683292553
197.0,526.8095238095239,526.0647625321538
198.0,523.0,527.6962842712843
199.0,519.5,526.4311327561328
200.0,540.05,526.1356782106782
201.0,525.2272727272727,524.7204545454546
202.0,522.2272727272727,520.0386363636363
203.0,518.3181818181819,520.6598484848486
204.0,494.90909090909093,516.196386946387
205.0,523.2272727272727,513.2765637140637
206.0,513.2692307692307,510.9520182595183
207.0,507.7083333333333,511.24025779775775
208.0,508.28,514.447717005217
209.0,520.047619047619,512.8373744492222
210.0,514.1538461538462,511.5147248765727
211.0,513.5652173913044,512.2556436799915
212.0,505.3333333333333,513.7327865371344
213.0,512.1538461538462,512.5095722514201
214.0,517.1428571428571,511.91059789244576
215.0,512.7083333333334,511.86972832722836
216.0,510.56,514.7996800180496
217.0,513.32,515.0518167701863
218.0,522.9130434782609,513.6818534002231
219.0,513.6666666666666,510.83191378669636
220.0,508.9230769230769,515.3739971200298
221.0,495.60869565217394,514.8398945559271
222.0,537.8125,510.789169918246
223.0,510.11538461538464,508.7180588071349
224.0,498.60869565217394,510.0242126532887
225.0,501.24,512.2160967112599
226.0,516.76,508.69873560014867
227.0,508.76,507.4551458565589
228.0,516.7083333333334,511.55882478632475
229.0,502.65384615384613,513.7688247863248
230.0,523.2307692307693,512.6998504273505
231.0,514.5,513.7331837606838
232.0,510.34615384615387,514.7956837606838
233.0,514.96,519.6261033411033
234.0,523.0833333333334,517.6389238539238
235.0,531.6363636363636,520.28022820175
236.0,511.3076923076923,522.1456128171345
237.0,530.3478260869565,520.8004276319493
238.0,521.5384615384615,522.748077204599
239.0,506.8888888888889,516.868683265205
240.0,534.7692307692307,517.5994524959743
241.0,496.36,515.8400925925927
242.0,515.6923076923077,516.9170156695156
243.0,519.7916666666666,519.1022008547009
244.0,528.0,517.087329059829
245.0,520.0,528.3699216524216
246.0,522.68,530.0253703703703
247.0,564.0555555555555,528.2329320987654
248.0,525.625,525.4662654320988
249.0,509.037037037037,526.6815432098765
250.0,511.4,524.7657407407407
251.0,527.2916666666666,518.2031481481481
252.0,511.18518518518516,516.0733404558404
253.0,524.68,519.9213342830009
254.0,512.8461538461538,523.4413342830009
255.0,532.125,524.0393898385565
256.0,532.52,524.4390811965812
257.0,530.88,510.87061965811967
258.0,513.5833333333334,511.1601495726496
259.0,443.2692307692308,511.43098290598294
260.0,514.5833333333334,509.8763675213675
261.0,533.75,513.5630341880342
262.0,523.1923076923077,518.0769230769232
263.0,553.0,533.2639353400224
264.0,540.6666666666666,533.869094070181
265.0,534.3913043478261,533.9974274035144
266.0,518.2142857142857,535.0764872325742
267.0,534.52,533.2014872325742
268.0,529.6666666666666,531.9044786855657
269.0,541.75,532.6992612942612
270.0,532.8846153846154,535.2981623931623
271.0,539.16,535.8920512820513
272.0,533.8076923076923,535.3065811965812
273.0,538.0833333333334,535.027735042735
274.0,526.1538461538462,536.6650213675214
275.0,540.0769230769231,533.5202991452992
276.0,542.7083333333334,540.1990170940171
277.0,520.2916666666666,539.0917948717948
278.0,573.88,542.8786538461538
279.0,531.44,542.256858974359
280.0,548.875,542.4400854700855
281.0,536.3461538461538,547.1016192865105
282.0,543.8076923076923,535.0307101956015
283.0,548.2608695652174,536.829171734063
284.0,501.45454545454544,534.6895112402359
285.0,542.2307692307693,536.9512633769881
286.0,536.0370370370371,537.1572277025176
287.0,549.9166666666666,537.0095827749814
288.0,545.0434782608696,544.9071585325572
289.0,547.375,545.3904361245303
290.0,548.84,545.0995410628019
291.0,545.1304347826087,541.7000966183575
292.0,534.2916666666666,542.019773318469
293.0,529.52,542.457273318469
294.0,546.9615384615385,530.9262476774433
295.0,550.0,535.3578418803419
296.0,479.65384615384613,536.7883974358974
297.0,571.72,538.5836752136753
298.0,542.875,538.020641025641